open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base,taker_buy_quote,ignore
1672524000000,1200.09000000,1200.10000000,1199.86000000,1199.86,149.7717,1672524299999,179715.69434500,533,30.50560000,36603.53997400,0
1672524300000,1199.87000000,1200.42000000,1199.86000000,1200.42,299.4847,1672524599999,359406.72770000,679,190.98250000,229196.33214400,0
1672524600000,1200.41000000,1201.11000000,1200.41000000,1200.89,578.5987,1672524899999,694796.64992900,840,260.10600000,312295.79961900,0
1672524900000,1200.88000000,1200.89000000,1197.70000000,1198.48,1712.2709,1672525199999,2052247.10096700,1672,821.21200000,984178.10581100,0
1672525200000,1198.47000000,1199.08000000,1198.36000000,1198.92,643.9946,1672525499999,772027.34960100,1112,309.50230000,371054.53274700,0
1672525500000,1198.91000000,1199.84000000,1198.91000000,1199.26,485.3692,1672525799999,582110.05981200,842,202.51010000,242860.38947000,0
1672525800000,1199.26000000,1199.94000000,1198.37000000,1198.79,1306.6053,1672526099999,1566655.21733000,1120,522.27780000,626231.70741900,0
1672526100000,1198.79000000,1199.50000000,1197.97000000,1198.56,787.2027,1672526399999,943768.39211800,975,396.50490000,475355.95689200,0
1672526400000,1198.55000000,1198.74000000,1197.75000000,1197.89,595.8376,1672526699999,713968.92909500,965,293.03550000,351143.26223900,0
1672526700000,1197.89000000,1197.89000000,1196.20000000,1196.21,425.5751,1672526999999,509418.06463700,1054,139.34810000,166787.04643800,0
1672527000000,1196.20000000,1196.63000000,1193.08000000,1195.87,1947.6959,1672527299999,2327400.95444900,2537,718.14260000,858112.00311900,0
1672527300000,1195.87000000,1196.37000000,1195.77000000,1196.19,617.0729,1672527599999,738005.22205500,912,367.61870000,439654.16793600,0
1672527600000,1196.18000000,1196.19000000,1194.39000000,1194.76,899.3619,1672527899999,1074995.44834700,1264,534.00360000,638264.27107900,0
1672527900000,1194.76000000,1195.53000000,1193.60000000,1194.1,837.7012,1672528199999,1000766.76315300,1076,308.26750000,368315.21224500,0
1672528200000,1194.09000000,1195.58000000,1193.63000000,1195.57,744.6849,1672528499999,889352.63426300,1137,496.48210000,592960.42090000,0
1672528500000,1195.58000000,1196.70000000,1195.57000000,1196.4,837.6163,1672528799999,1001962.87632800,1442,499.79030000,597848.08800900,0
1672528800000,1196.39000000,1196.40000000,1195.28000000,1195.6,530.8355,1672529099999,634843.63425300,1090,295.35940000,353209.76799400,0
1672529100000,1195.60000000,1195.69000000,1194.98000000,1195.68,291.1927,1672529399999,348084.39169100,614,106.61900000,127437.25647200,0
1672529400000,1195.68000000,1196.67000000,1195.02000000,1196.53,384.5302,1672529699999,459831.65334500,850,259.61500000,310437.47523300,0
1672529700000,1196.53000000,1197.43000000,1196.53000000,1197.11,324.2904,1672529999999,388240.37640500,846,116.56240000,139541.10366600,0
1672530000000,1197.12000000,1197.12000000,1196.68000000,1196.81,238.5048,1672530299999,285455.69955800,706,147.55620000,176595.71222200,0
1672530300000,1196.82000000,1196.99000000,1196.20000000,1196.38,230.2441,1672530599999,275498.25771100,652,135.38270000,161973.97815500,0
1672530600000,1196.38000000,1196.42000000,1195.87000000,1196.41,157.6929,1672530899999,188624.27322300,532,113.02120000,135187.01172200,0
1672530900000,1196.41000000,1196.42000000,1195.42000000,1196.13,450.7771,1672531199999,539058.35821700,820,250.39260000,299421.92442400,0
1672531200000,1196.13000000,1196.32000000,1195.65000000,1196.32,334.5592,1672531499999,400115.31516200,1202,123.31410000,147471.99332800,0
1672531500000,1196.31000000,1196.69000000,1194.90000000,1195.38,682.3876,1672531799999,815828.85764400,1318,205.89300000,246115.73358200,0
1672531800000,1195.38000000,1195.81000000,1194.55000000,1194.55,228.9387,1672532099999,273642.10976000,1170,126.07550000,150692.20302900,0
1672532100000,1194.55000000,1195.98000000,1194.31000000,1195.98,601.8903,1672532399999,719191.80951700,1373,220.30920000,263266.53921600,0
1672532400000,1195.98000000,1196.37000000,1195.97000000,1196.06,144.8048,1672532699999,173217.27703900,1120,77.89970000,93182.76893600,0
1672532700000,1196.06000000,1196.70000000,1196.06000000,1196.61,394.9124,1672532999999,472501.53461500,1054,150.43910000,179990.67145300,0
1672533000000,1196.62000000,1196.62000000,1193.72000000,1194.36,497.8406,1672533299999,595097.37631500,1388,122.03490000,145798.83218500,0
1672533300000,1194.37000000,1194.43000000,1192.72000000,1194.22,1299.5971,1672533599999,1551143.37348300,1987,604.55330000,721490.05995300,0
1672533600000,1194.22000000,1194.22000000,1193.02000000,1193.64,409.5032,1672533899999,488742.46730000,1399,217.56530000,259627.10591500,0
1672533900000,1193.64000000,1195.06000000,1193.63000000,1194.64,521.0221,1672534199999,622249.61912300,1431,332.33240000,396864.16401900,0
1672534200000,1194.65000000,1195.06000000,1194.19000000,1194.82,486.7733,1672534499999,581485.05761400,1152,259.93810000,310518.53463800,0
1672534500000,1194.82000000,1195.04000000,1194.09000000,1194.09,287.1547,1672534799999,343014.86520600,1238,110.47480000,131953.09114100,0
1672534800000,1194.09000000,1194.84000000,1193.84000000,1194.1,389.7127,1672535099999,465454.16668700,902,117.49660000,140313.17646500,0
1672535100000,1194.11000000,1195.75000000,1194.10000000,1195.69,500.1684,1672535399999,597712.54115500,755,364.83940000,435961.24616800,0
1672535400000,1195.70000000,1195.75000000,1195.38000000,1195.38,285.9199,1672535699999,341821.72645400,749,54.07340000,64647.27971900,0
1672535700000,1195.38000000,1195.49000000,1195.23000000,1195.38,113.75,1672535999999,135973.55949400,536,74.77080000,89377.79779200,0
1672536000000,1195.37000000,1195.61000000,1195.01000000,1195.6,248.5874,1672536299999,297100.34697900,678,135.45880000,161889.30532600,0
1672536300000,1195.60000000,1195.61000000,1195.29000000,1195.45,171.7727,1672536599999,205333.82408800,573,64.08990000,76610.84992000,0
1672536600000,1195.45000000,1195.47000000,1195.13000000,1195.14,212.3066,1672536899999,253765.65952800,546,92.93410000,111081.55850400,0
1672536900000,1195.14000000,1195.58000000,1194.72000000,1194.73,363.2838,1672537199999,434159.79370800,775,208.06590000,248649.45896500,0
1672537200000,1194.73000000,1195.32000000,1194.72000000,1194.92,239.9588,1672537499999,286771.00817400,645,125.60580000,150103.79443700,0
